"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre-adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre-adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre-adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtsjail == 1"
"72",26,2001,12283,8170,1134,1040,41491,1134,1040,3213,8519,11316,104,4459,781,557,247,266,298,295,3,131,15,29,97,214,202,292,1,164,17,9,141,17475,1417,6744,1989,1569,2,0,0,939,40,79,54,22,0,0,0,839,31,74,52,42,2,0,0,172
"73",27,2001,10012,9006,2114,5886,27448,4155,9871,808,2282,7280,2231,4779,40,6,0,251,743,1747,313,1092,7,1,0,433,1027,4152,1483,2744,25,4,0,12271,533,1644,2098,0,34,825,0,2684,200,559,508,0,11,179,0,7119,217,814,1224,0,14,475,0,501
"74",28,2001,2094,1301,1103,919,7229,2865,2178,320,1551,1444,899,301,44,10,394,198,854,872,477,168,33,4,170,120,681,540,407,130,10,6,214,3349,662,791,96,152,48,7,0,1704,451,489,67,112,23,1,0,1572,205,299,28,35,23,6,0,132
"75",29,2001,7392,5780,2066,5044,26489,6893,11696,2603,4124,6330,253,2794,530,395,2065,1006,1973,1882,57,1219,246,232,275,1525,2092,4223,189,1507,275,153,1732,11179,307,3805,427,1588,1125,575,0,3273,103,1682,125,712,770,182,0,7565,195,2041,296,841,343,370,0,982
"76",30,2001,1506,1037,18,848,5011,52,2013,0,1112,1831,482,80,0,0,0,0,9,37,5,1,0,0,0,0,621,1048,290,54,0,0,0,1627,208,759,328,101,58,423,0,20,2,18,4,4,0,4,0,828,91,466,217,79,32,299,0,87
"77",31,2001,3350,3032,467,2282,12240,1393,5919,99,912,2778,394,1550,93,146,2914,33,214,481,50,277,5,34,299,58,563,1817,269,1012,74,72,2050,3108,0,324,349,298,218,4593,0,331,0,69,44,19,34,896,0,2215,0,185,260,234,155,2870,0,188
"78",32,2001,3338,2537,851,1672,9350,1513,3286,1,123,501,0,2893,4,1,3,0,18,125,0,766,2,1,2,1,79,292,0,1401,2,0,1,367,291,748,58,169,85,1984,0,64,59,185,19,50,23,385,0,237,190,476,37,87,47,1182,0,409
"79",33,2001,534,447,24,459,2290,89,1544,0,201,1154,347,33,10,11,0,0,6,69,13,1,0,0,0,0,178,1000,317,31,8,10,0,487,20,227,269,0,70,683,0,23,0,16,9,0,4,37,0,429,20,192,253,0,63,587,0,15
"80",34,2001,5433,4251,3024,1526,20706,9399,3713,494,1789,8569,1364,2307,262,0,0,331,1029,5676,773,1068,145,0,0,107,498,1750,361,865,67,0,0,6626,1205,5703,758,376,0,605,0,3535,846,4061,470,196,0,291,0,1967,219,1023,198,106,0,200,0,294
"81",35,2001,1887,1648,99,466,5398,254,940,505,440,1905,391,192,76,1,0,59,22,133,22,12,6,0,0,143,75,542,89,59,30,1,0,1109,4,939,163,174,85,1029,0,65,1,109,22,12,1,44,0,324,0,239,39,68,16,251,0,294
